"Author","Years Published"
"Matthew Hennessy","No Consecutive Publishing"
"Yuval Yarom","No Consecutive Publishing"
"Mike Hamburg","No Consecutive Publishing"
"Frank Manola","No Consecutive Publishing"
"Michael Stonebraker","No Consecutive Publishing"
"Farshad Nayeri","No Consecutive Publishing"
"Dimitrios Georgakopoulos","No Consecutive Publishing"
"Sandra Heiler","No Consecutive Publishing"
"Alejandro P. Buchmann","No Consecutive Publishing"
"Benjamin Hurwitz","No Consecutive Publishing"
"Cetin Ozbutun","No Consecutive Publishing"
"Mike Kelley","No Consecutive Publishing"
"Phil Shaw","No Consecutive Publishing"
"Krishna G. Kulkarni","No Consecutive Publishing"
"David Beech","No Consecutive Publishing"
"Rolf Sander","No Consecutive Publishing"
"Claus-Rainer Rollinger","No Consecutive Publishing"
"Hans Uszkoreit","No Consecutive Publishing"
"Ulrike Schwall","No Consecutive Publishing"
"Brigitte Bartsch-Sprl","No Consecutive Publishing"
"Burkhard Kehrbusch","No Consecutive Publishing"
"Birgit Wesche","No Consecutive Publishing"
"Christopher Habel","No Consecutive Publishing"
"Erich Gehlen","No Consecutive Publishing"
"Egon Brger","No Consecutive Publishing"
"Michael Ley","No Consecutive Publishing"
"Roland Seiffert","No Consecutive Publishing"
"Gisela Schpke","No Consecutive Publishing"
"Stefan Bttcher","No Consecutive Publishing"
"Bernd Walter","No Consecutive Publishing"
"Carola Eschenbach","No Consecutive Publishing"
"Hans-Joachim Goltz","No Consecutive Publishing"
"Otthein Herzog","No Consecutive Publishing"
"Stefan J. Schierholz","No Consecutive Publishing"
"Birgit Wendholt","No Consecutive Publishing"
"Gudrun Klose","No Consecutive Publishing"
"Klaus Rehkamper","No Consecutive Publishing"
"Anja Theuner","No Consecutive Publishing"
"Claudia Maienborn","No Consecutive Publishing"
"Angelika Storrer","No Consecutive Publishing"
"Esther Knig","No Consecutive Publishing"
"Claudia Mrotzek","No Consecutive Publishing"
"Rudi Studer","No Consecutive Publishing"
"Lutz Voelkel","No Consecutive Publishing"
"Kai-Uwe Carstensen","No Consecutive Publishing"
"Martin Habner","No Consecutive Publishing"
"Michael Czymmeck","No Consecutive Publishing"
"Michael Tarnowski","No Consecutive Publishing"
"Mechthild Rickheit","No Consecutive Publishing"
"Ulrike Weiland","No Consecutive Publishing"
"Elisabeth Neugebauer","No Consecutive Publishing"
"Mohammed Nadjib Khenkhar","No Consecutive Publishing"
"Eric Mays","No Consecutive Publishing"
"Petra Maier","No Consecutive Publishing"
"Bruce G. Lindsay 0001","No Consecutive Publishing"
"Stefan Brner","No Consecutive Publishing"
"Thomas Pirlein","No Consecutive Publishing"
"Gerd Kortam","No Consecutive Publishing"
"Ipke Wachsmuth","No Consecutive Publishing"
"Ingrid Renz","No Consecutive Publishing"
"Kai von Luck","No Consecutive Publishing"
"Noam Paz","No Consecutive Publishing"
"Kurt Eberle","No Consecutive Publishing"
"Gregor Erbach","No Consecutive Publishing"
"Christos Garidis","No Consecutive Publishing"
"Toni Bollinger","No Consecutive Publishing"
"Eric Windisch","No Consecutive Publishing"
"Peter Gerstl","No Consecutive Publishing"
"Irving L. Traiger","No Consecutive Publishing"
"Ulrike Rackow","No Consecutive Publishing"
"Sonja Maller","No Consecutive Publishing"
"Rolf Mayer","No Consecutive Publishing"
"Radiger Wirth","No Consecutive Publishing"
"Holger M. Wittmann","No Consecutive Publishing"
"Jan Wilms","No Consecutive Publishing"
"Bernd Abb","No Consecutive Publishing"
"Jrg Heinrich","No Consecutive Publishing"
"Jochen Drre","No Consecutive Publishing"
"Rainer Buerle","No Consecutive Publishing"
"Sven Lorenz","No Consecutive Publishing"
"Michael Klein","No Consecutive Publishing"
"Nick Roussopoulos","No Consecutive Publishing"
"Tibor Kiss","No Consecutive Publishing"
"Wolfgang Wernecke","No Consecutive Publishing"
"Albert Maier","No Consecutive Publishing"
"Petra Steffens","No Consecutive Publishing"
"Manfred Grothaus","No Consecutive Publishing"
"Karin Klabunde","No Consecutive Publishing"
"Karl Dotzek","No Consecutive Publishing"
"H. Raymond Strong","No Consecutive Publishing"
"Nikolaus Ott","No Consecutive Publishing"
"Christian Rohrer","No Consecutive Publishing"
"Elisabeth Breidt","No Consecutive Publishing"
"Oliver Wauschkuhn","No Consecutive Publishing"
"Ingo Raasch","No Consecutive Publishing"
"Wolfgang Scnfeld","No Consecutive Publishing"
"Astrid Schmacker-Schend","No Consecutive Publishing"
"Simone Pribbenow","No Consecutive Publishing"
"Joachim Maier","No Consecutive Publishing"
"Hinrich Schatze","No Consecutive Publishing"
"Jrg H. Siekmann","No Consecutive Publishing"
"Petra Ludewig","No Consecutive Publishing"
"Herbert J. Leass","No Consecutive Publishing"
"Werner Kernig","No Consecutive Publishing"
"Gregor Meyer","No Consecutive Publishing"
"Andreas Arning","No Consecutive Publishing"
"Raymond A. Lorie","No Consecutive Publishing"
"Petra Schulz","No Consecutive Publishing"
"Sebastian Millies","No Consecutive Publishing"
"Heiner Semle","No Consecutive Publishing"
"Anne Schiller","No Consecutive Publishing"
"M. Wermke","No Consecutive Publishing"
"Ulrich Hedtstack","No Consecutive Publishing"
"Elke Busch","No Consecutive Publishing"
"D. Eberle","No Consecutive Publishing"
"Volker Jantzen","No Consecutive Publishing"
"William C. Rounds","No Consecutive Publishing"
"Bernhard Nebel","No Consecutive Publishing"
"Kurt Rothermel","No Consecutive Publishing"
"Bart Geurts","No Consecutive Publishing"
"Josef Gemander","No Consecutive Publishing"
"Karel Oliva","No Consecutive Publishing"
"Uwe Reyle","No Consecutive Publishing"
"Reiner Hahnle","No Consecutive Publishing"
"Jutta Kreia","No Consecutive Publishing"
"Jargen Manowsky","No Consecutive Publishing"
"Karl Schlechta","No Consecutive Publishing"
"Geoffrey Simmons","No Consecutive Publishing"
"Vera Watson","No Consecutive Publishing"
"Adrian Maller","No Consecutive Publishing"
"Robert A. Weida","No Consecutive Publishing"
"Peter Bosch","No Consecutive Publishing"
"George Markowsky","No Consecutive Publishing"
"Karl-Hans Blasius","No Consecutive Publishing"
"Ganther Grz","No Consecutive Publishing"
"Kjell Johan S;","No Consecutive Publishing"
"Stefan Benzschawel","No Consecutive Publishing"
"Ulrich Schatz","No Consecutive Publishing"
"Gosse Bouma","No Consecutive Publishing"
"Donald D. Chamberlin","No Consecutive Publishing"
"Bradford W. Wade","No Consecutive Publishing"
"Karin Neuhold","No Consecutive Publishing"
"Richard Rdler","No Consecutive Publishing"
"Martin Mundhenk","No Consecutive Publishing"
"Manfred Laumen","No Consecutive Publishing"
"Volker Schillings","No Consecutive Publishing"
"Carsten Damm","No Consecutive Publishing"
"Martin Gugat","No Consecutive Publishing"
"Nguyen V. Thoai","No Consecutive Publishing"
"El-Sayed M. E. Mostafa","No Consecutive Publishing"
"Belinda B. King","No Consecutive Publishing"
"Ekkehard W. Sachs","No Consecutive Publishing"
"John Westwater","No Consecutive Publishing"
"Dieter Baum","No Consecutive Publishing"
"Florian Jarre","No Consecutive Publishing"
"Anna Slobodov","No Consecutive Publishing"
"M. Bhm","No Consecutive Publishing"
"Krzysztof Lorys","No Consecutive Publishing"
"Klaus Jansen","No Consecutive Publishing"
"Markus Wiegelmann","No Consecutive Publishing"
"Christian Fecht","No Consecutive Publishing"
"Harald Sack","No Consecutive Publishing"
"Harald Luschgy","No Consecutive Publishing"
"Matthias Heinkenschloss","No Consecutive Publishing"
"Arno Wagner","No Consecutive Publishing"
"Reiner Horst","No Consecutive Publishing"
"Christoph W. Kealer","No Consecutive Publishing"
"Igor E. Shparlinski","No Consecutive Publishing"
"Christoph W. Keler","No Consecutive Publishing"
"Kasyap Natarajan","No Consecutive Publishing"
"Oliver Stein","No Consecutive Publishing"
"M. Nast","No Consecutive Publishing"
"Lothar Breuer","No Consecutive Publishing"
"Peter Sturm 0001","No Consecutive Publishing"
"Patrick Reuther","No Consecutive Publishing"
"E. Levitin","No Consecutive Publishing"
"Jrgen Huschens","No Consecutive Publishing"
"Marco Fahl","No Consecutive Publishing"
"Andreas Neumann 0001","No Consecutive Publishing"
"Volker Schulz 0001","No Consecutive Publishing"
"Horst Schmitt","No Consecutive Publishing"
"Christian Stangier","No Consecutive Publishing"
"Victor Klee","No Consecutive Publishing"
"Rosario Pugliese","No Consecutive Publishing"
"Aad van Moorsel","No Consecutive Publishing"
"Dieter Spreen","No Consecutive Publishing"
"Iddo Tzameret","No Consecutive Publishing"
"Philippe Jorrand","No Consecutive Publishing"
"Edmund P. Robinson","No Consecutive Publishing"
"Victor Mitrana","No Consecutive Publishing"
"Ulrich Fahrenberg","No Consecutive Publishing"
"Satyadev Nandakumar","No Consecutive Publishing"
"Przemyslaw Prusinkiewicz","No Consecutive Publishing"
"Gavin Lowe","No Consecutive Publishing"
"Thorsten Altenkirch","No Consecutive Publishing"
"Carroll Morgan","No Consecutive Publishing"
"Ugo Montanari","No Consecutive Publishing"
"Gabriele Taentzer","No Consecutive Publishing"
"Céline Kuttler","No Consecutive Publishing"
"S. P. Suresh","No Consecutive Publishing"
"Thom W. Frühwirth","No Consecutive Publishing"
"Johan Muskens","No Consecutive Publishing"
"Uwe Kastens","No Consecutive Publishing"
"Pascal Zimmer","No Consecutive Publishing"
"Moreno Falaschi","No Consecutive Publishing"
"Rachid Echahed","No Consecutive Publishing"
"Makarius Wenzel","No Consecutive Publishing"
"Emil Sekerinski","No Consecutive Publishing"
"Arne Skou","No Consecutive Publishing"
"Girish Keshav Palshikar","No Consecutive Publishing"
"Dániel Varró","No Consecutive Publishing"
"Graeme Smith","No Consecutive Publishing"
"Casey McGinnis","No Consecutive Publishing"
"Oleg Sokolsky","No Consecutive Publishing"
"Marta Simeoni","No Consecutive Publishing"
"Frank Ruskey","No Consecutive Publishing"
"Albert Zündorf","No Consecutive Publishing"
"Mário Florido","No Consecutive Publishing"
"Martin Wirsing","No Consecutive Publishing"
"Juan Bicarregui","No Consecutive Publishing"
"Corrado Priami","No Consecutive Publishing"
"Shmuel Ur","No Consecutive Publishing"
"Robin P. Clark","No Consecutive Publishing"
"Jean-Michel Hufflen","No Consecutive Publishing"
"Marc Lohmann","No Consecutive Publishing"
"Ana M. Roldán","No Consecutive Publishing"
"Arnab Roy 0001","No Consecutive Publishing"
"Josep Silva","No Consecutive Publishing"
"Anderson Santana de Oliveira","No Consecutive Publishing"
"Michel Wermelinger","No Consecutive Publishing"
"Mattis Neiling","No Consecutive Publishing"
"Robert de Simone","No Consecutive Publishing"
"John Longley","No Consecutive Publishing"
"Barbora Zimmerova","No Consecutive Publishing"
"Silvia Lizeth Tapia Tarifa","No Consecutive Publishing"
